SomaFM Groove Salad,http://ice3.somafm.com/groovesalad-128-mp3,,
Downtempo (Secret Agent - SomaFM),http://somafm.com/secretagent.pls,,
SomaFM - Deep Space One,http://soma.fm/deepspaceone.pls,,
SomaFM Space Station,http://somafm.com/spacestation130.pls,,
Rádio Bossa Nova Brazil,http://54.38.43.201:8009/stream-128kmp3-BossaNovaBrazil,,
Chillout (Groove Salad - SomaFM),http://somafm.com/startstream=groovesalad.pls,,
The Trip: [SomaFM],https://somafm.com/thetrip.pls,,
Covers (SomaFM),http://somafm.com/covers.pls,,
Intelligent dance music (Cliq Hop - SomaFM),http://somafm.com/startstream=cliqhop.pls,,
Pop (PopTron! - SomaFM),http://somafm.com/poptron.pls,,
Progressive (Tags Trance Trip - SomaFM),http://somafm.com/tagstrance.pls,,
Celtic (ThistleRadio - SomaFM),http://somafm.com/thistle.pls,,
Jazz (Sonic Universe - SomaFM),http://somafm.com/startstream=sonicuniverse.pls,,
Synphaera Radio (Space Music),https://somafm.com/synphaera.pls,,
House (Beat Blender - SomaFM),http://somafm.com/startstream=beatblender.pls,,
Rock (Digitalis - SomaFM),http://somafm.com/digitalis.pls,,
Commodore 64 Remixes (Slay Radio),http://www.slayradio.org/tune_in.php/128kbps/listen.m3u,,
Groove Salad Classic (Early 2000s Ambient),https://somafm.com/gsclassic.pls,,
American Roots (Boot Liquor - SomaFM),http://somafm.com/bootliquor.pls,,
Lounge (Illinois Street Lounge - SomaFM),http://somafm.com/illstreet.pls,,
SomaFM 80s,http://somafm.com/u80s.pls,,
n5MD Radio (Ambient and Experimental),https://somafm.com/n5md.pls,,
Vaporwaves [SomaFM],https://somafm.com/vaporwaves.pls,,
Alternative (The Alternative Project),http://c9.prod.playlists.ihrhls.com/4447/playlist.m3u8,,
Dub Step (Dub Step Beyond - SomaFM),http://somafm.com/dubstep.pls,,
Electronic/Dance (Electronic Culture),http://www.shouted.fm/tunein/electro-dsl.m3u,,
Folk (Folk Forward - SomaFM),http://somafm.com/folkfwd.pls,,
Alternative (BAGeL Radio),https://ais-sa3.cdnstream1.com/2606_128.aac,,
Hip Hop (Hot 97 NYC),http://playerservices.streamtheworld.com/pls/WQHTAAC.pls,,
Hip Hop (Power 1051 NYC),http://c11.prod.playlists.ihrhls.com/1481/playlist.m3u8,,
Indie Pop (Indie Pop Rocks! - SomaFM),http://somafm.com/indiepop130.pls,,
Pop/Rock/Urban  (Frequence 3 - Paris),http://streams.frequence3.net/hd-mp3.m3u,,
Public Radio (NPR National Public Radio Stream),https://npr-ice.streamguys1.com/live.mp3,,
Reggae Dancehall (Ragga Kings),https://raggakings.radio:8443/stream.ogg,,
Vox Noctem: Rock-Goth,http://r2d2.voxnoctem.de:8000/voxnoctem.mp3,,
Beyond Metal (Progressive - Symphonic),http://streamingV2.shoutcast.com/BeyondMetal,,
Metal Detector,https://somafm.com/metal.pls,,
DanceUK,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk2.internet-radio.com:8024/listen.pls&t=.pls,,
JazzGroove,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://199.180.72.2:8015/listen.pls?sid=1&t=.pls,,
Radio Paradise - Main Mix,http://stream.radioparadise.com/aac-128,,
Radio Paradise - Mellow Mix,http://stream.radioparadise.com/mellow-128,,
Radio Paradise - Rock Mix,http://stream.radioparadise.com/rock-128,,
Radio Paradise - Eclectic Mix,http://stream.radioparadise.com/eclectic-128,,
Echoes of Bluemars,http://streams.echoesofbluemars.org:8000/bluemars.m3u,,
Echoes of Bluemars - Cryosleep,http://streams.echoesofbluemars.org:8000/cryosleep.m3u,,
Echoes of Bluemars - Voices from Within,http://streams.echoesofbluemars.org:8000/voicesfromwithin.m3u,,
